============================================================
  GNN Results - CiteSeer_k2
  Generated: 2026-03-31 22:08:58
============================================================

Dataset Info
  Dataset       : CiteSeer
  Num graphs    : 1
  Num features  : 3703
  Num classes   : 6
  Num nodes     : 3327
  Num edges     : 9104

Model Config
  GNN layers (k): 2
  Hidden dim    : 128
  Epochs        : 3000
  LR            : 0.01
  Weight decay  : 5e-3
  Dropout       : 0.5

Best Results (by val loss)
  Best epoch    : 1100
  Train F1      : 0.9833
  Val   F1      : 0.5701
  Test  F1      : 0.5738

Training History (every 20 epochs)
   Epoch  Train Loss    Val Loss  Train F1    Val F1
  ------  ----------  ----------  --------  --------
      20      1.0750      1.5713    0.5925    0.3615
      40      0.1979      2.0350    0.9833    0.5115
      60      0.0654      2.7391    0.9833    0.5043
      80      0.0475      2.3769    1.0000    0.5347
     100      0.0346      2.5557    0.9917    0.5263
     120      0.0366      2.4557    1.0000    0.5142
     140      0.0417      1.9432    1.0000    0.5515
     160      0.0352      2.4147    1.0000    0.4908
     180      0.0283      1.9436    1.0000    0.5690
     200      0.0858      2.0438    0.9917    0.5717
     220      0.0252      1.7718    1.0000    0.5558
     240      0.1515      2.7011    0.9833    0.4481
     260      0.0195      1.9157    1.0000    0.5934
     280      0.0312      1.9074    0.9917    0.5572
     300      0.0219      1.9152    1.0000    0.5773
     320      0.1163      1.8882    0.9917    0.5370
     340      0.0219      1.8082    1.0000    0.5593
     360      0.0190      1.7809    1.0000    0.5686
     380      0.0580      1.9784    0.9917    0.5437
     400      0.0198      1.8411    1.0000    0.5823
     420      0.0293      1.8675    0.9917    0.5705
     440      0.0772      1.6024    1.0000    0.5901
     460      0.0171      2.0020    1.0000    0.5908
     480      0.0189      1.9206    1.0000    0.5772
     500      0.0219      1.8726    1.0000    0.5751
     520      0.0399      1.7486    1.0000    0.5669
     540      0.0266      1.7940    1.0000    0.5636
     560      0.0292      2.2079    0.9917    0.5635
     580      0.0764      2.0057    0.9833    0.5144
     600      0.0149      1.9585    1.0000    0.5665
     620      0.0499      1.8413    1.0000    0.5635
