============================================================
  GNN Results - Cora_k2
  Generated: 2026-03-31 22:07:40
============================================================

Dataset Info
  Dataset       : Cora
  Num graphs    : 1
  Num features  : 1433
  Num classes   : 7
  Num nodes     : 2708
  Num edges     : 10556

Model Config
  GNN layers (k): 2
  Hidden dim    : 128
  Epochs        : 3000
  LR            : 0.01
  Weight decay  : 5e-3
  Dropout       : 0.5

Best Results (by val loss)
  Best epoch    : 840
  Train F1      : 1.0000
  Val   F1      : 0.7298
  Test  F1      : 0.7257

Training History (every 20 epochs)
   Epoch  Train Loss    Val Loss  Train F1    Val F1
  ------  ----------  ----------  --------  --------
      20      0.1055      2.1521    0.9789    0.7386
      40      0.0138      2.7875    0.9929    0.7271
      60      0.0053      2.8537    1.0000    0.7106
      80      0.0051      3.1889    1.0000    0.7426
     100      0.0018      2.6818    1.0000    0.7187
     120      0.0007      2.7822    1.0000    0.7143
     140      0.0016      2.5248    1.0000    0.6937
     160      0.0008      2.2499    1.0000    0.7518
     180      0.0067      2.2316    1.0000    0.7124
     200      0.0069      2.1257    1.0000    0.7108
     220      0.0036      2.6237    1.0000    0.7262
     240      0.0009      2.5064    1.0000    0.7516
     260      0.0030      2.8531    1.0000    0.6724
     280      0.0009      2.9317    1.0000    0.7040
     300      0.0012      2.6006    1.0000    0.7372
     320      0.0013      2.7623    1.0000    0.7392
     340      0.0062      2.6134    1.0000    0.7252
     360      0.0019      2.9392    1.0000    0.6891
     380      0.0012      2.5590    1.0000    0.7512
     400      0.0023      2.2470    1.0000    0.7229
     420      0.0008      2.7146    1.0000    0.7043
     440      0.0028      2.4513    1.0000    0.7203
     460      0.0008      2.5731    1.0000    0.7182
     480      0.0026      2.4308    1.0000    0.7111
     500      0.0198      2.5799    0.9929    0.7351
     520      0.0110      2.5176    1.0000    0.7011
     540      0.0018      2.2067    1.0000    0.7294
     560      0.0011      2.2298    1.0000    0.7383
     580      0.0021      1.9497    1.0000    0.7314
     600      0.0028      2.0983    1.0000    0.7109
     620      0.0042      2.3636    1.0000    0.7031
     640      0.0004      2.3850    1.0000    0.7204
     660      0.0048      2.2497    1.0000    0.7121
     680      0.0095      2.8652    1.0000    0.7272
     700      0.0044      3.0887    1.0000    0.6968
     720      0.0051      2.2368    1.0000    0.7174
     740      0.0120      2.6253    1.0000    0.7131
     760      0.0013      2.3725    1.0000    0.7186
